time_s,ax_ref_mps2,xi_ff_m,xi_ref_m,xi_actual_m,x_base_m,dx_base_mps,height_m
0.48,0,-0,-0.00943430175590514,-0.0716561755600636,-0.0902747242501452,-0.299035147812692,0.591447331147881
0.485,0,-0,-0.00965922581097887,-0.0725831258900535,-0.0917702770560857,-0.299140997886688,0.591673484087961
0.49,0,-0,-0.00988607194609587,-0.0735025008281067,-0.0932661299208582,-0.299178076026814,0.591899249585567
0.495,0,-0,-0.0101147897328836,-0.0744141023001748,-0.094761940708782,-0.29914690285882,0.592124537592844
0.5,0,-0,-0.0103453281149204,-0.0753177351510579,-0.0962573699785522,-0.299048023462244,0.59234925965239
0.505,0,-0,-0.0105776354358879,-0.076213207052213,-0.0977520810222927,-0.298881988209496,0.592573328540226
0.51,0,-0,-0.0108116594677642,-0.0771003286558816,-0.0992457399746083,-0.29864937177485,0.592796658668775
0.515,0,-0,-0.0110473474385941,-0.0779789135160842,-0.100738015849936,-0.298350753591737,0.593019165748864
0.52,0,-0,-0.0112846460602698,-0.0788487782431199,-0.102228580645125,-0.29798673586489,0.593240767157776
0.525,0,-0,-0.0115235015559017,-0.0797097424354924,-0.10371710937557,-0.297557925796134,0.593461381621082
0.53,0,-0,-0.0117638596871837,-0.0805616288362869,-0.105203280174492,-0.297064952396275,0.593680929570765
0.535,0,-0,-0.012005665781358,-0.0814042632787875,-0.10668677432853,-0.296508449836279,0.593899332854775
0.54,0,-0,-0.0122488647580914,-0.0822374748302107,-0.108167276363655,-0.295889070263346,0.594116514996499
0.545,0,-0,-0.0124934011560365,-0.0830610957485521,-0.109644474086379,-0.29520747425053,0.594332400973903
0.55,0,-0,-0.012739219159313,-0.0838749616392287,-0.111118058674997,-0.294464340497092,0.594546917545468
0.555,0,-0,-0.0129862626235718,-0.0846789114124109,-0.112587724705562,-0.293660351504791,0.594759992935124
0.56,0,-0,-0.0132344751020307,-0.0854727874377464,-0.114053170241451,-0.292796209699916,0.594971557157215
0.565,0,-0,-0.0134837998710457,-0.086256435500123,-0.115514096855212,-0.291872619116291,0.595181541687381
0.57,0,-0,-0.0137341799556972,-0.0870297049541322,-0.116970209719164,-0.290890305175038,0.595389879808552
0.575,0,-0,-0.01398555815494,-0.0877924486986223,-0.118421217633033,-0.289849995735811,0.595596506360928
0.58,0,-0,-0.0142378770666395,-0.0885445233152717,-0.119866833096,-0.288752434443218,0.595801357953449
0.585,0,-0,-0.0144910791122602,-0.0892857890477137,-0.12130677233738,-0.287598370691677,0.596004372756781
0.59,0,-0,-0.0147451065614446,-0.0900161099441932,-0.122740755392968,-0.286388569519602,0.596205490764553
0.595,0,-0,-0.0149999015561799,-0.0907353538372776,-0.124168506125913,-0.285123798766553,0.59640465353603
0.6,0,-0,-0.0152554061348909,-0.0914433924833497,-0.125589752301601,-0.283804843026849,0.596601804460348
0.605,0,-0,-0.0155115622560637,-0.0921401015362136,-0.127004225601619,-0.282432486994228,0.596796888460997
0.61,0,-0,-0.0157683118218501,-0.0928253606830936,-0.128411661700633,-0.281007534114319,0.596989852287826
0.615,0,-0,-0.0160255967012243,-0.0934990536328005,-0.129811800286027,-0.279530788456426,0.597180644298116
0.62,0,-0,-0.0162833587530221,-0.0941610682396784,-0.131204385119795,-0.278003068442883,0.597369214646564
0.625,0,-0,-0.016541539848578,-0.0948112964915963,-0.132589164057222,-0.276425194689951,0.597555515078431
0.63,0,-0,-0.0168000818942331,-0.0954496346260958,-0.133965889107769,-0.274798001316169,0.597739499124652
0.635,0,-0,-0.0170589268534427,-0.0960759831207706,-0.135334316452285,-0.273122324409329,0.597921121907281
0.64,0,-0,-0.0173180167687421,-0.0966902468022798,-0.136694206499755,-0.271399012646008,0.598100340318408
0.645,0,-0,-0.0175772937833129,-0.0972923348378396,-0.13804532390287,-0.269628916422512,0.598277112836221
0.65,0,-0,-0.0178367001623947,-0.0978821608361372,-0.139387437610576,-0.267812897803415,0.598451399687544
0.655,0,-0,-0.0180961783142997,-0.0984596428389707,-0.14072032088201,-0.265951820328368,0.598623162674436
0.66,0,-0,-0.0183556708112588,-0.0990247034135244,-0.142043751334871,-0.264046558288344,0.598792365321126
0.665,0,-0,-0.0186151204098733,-0.0995772696435077,-0.143357510957718,-0.262097987203842,0.598958972711301
0.67,0,-0,-0.0188744700713854,-0.100117273212469,-0.144661386154156,-0.2601069924258,0.599122951620172
0.675,0,-0,-0.0191336629815557,-0.100644650393868,-0.145955167753447,-0.25807446027692,0.599284270362299
0.68,0,-0,-0.0193926425703463,-0.101159342125155,-0.147238651050464,-0.256001285980828,0.599442898909308
0.685,0,-0,-0.0196513525312145,-0.101661293996198,-0.148511635814537,-0.253888365458151,0.59959880874791
0.69,0,-0,-0.0199097368401968,-0.102150456313852,-0.149773926325129,-0.251736602593228,0.599751972983754
0.695,0,-0,-0.0201677397746064,-0.102626784088173,-0.151025331378836,-0.249546901674642,0.599902366209246
0.7,0,-0,-0.0204253059315082,-0.103090237087252,-0.152265664320748,-0.247320174013081,0.600049964594111
0.705,0,-0,-0.0206823802458087,-0.103540779820669,-0.153494743049526,-0.245057331012851,0.600194745762616
0.71,0,-0,-0.0209389080081097,-0.103978381584421,-0.154712390044431,-0.242759290157485,0.600336688871482
0.715,0,-0,-0.0211948348821797,-0.104403016441128,-0.155918432368394,-0.24042696869543,0.60047577449615
0.72,0,-0,-0.0214501069221758,-0.104814663254933,-0.15711270169071,-0.238061289013016,0.600611984696719
0.725,0,-0,-0.0217046705894846,-0.105213305668029,-0.158295034288019,-0.235663172914537,0.600745302912865
0.73,0,-0,-0.0219584727693014,-0.105598932125477,-0.159465271062675,-0.233233546405145,0.600875714018539
0.735,0,-0,-0.0222114607868295,-0.10597153584765,-0.160623257541558,-0.230773334542781,0.601003204225136
0.74,0,-0,-0.022463582423206,-0.106331114844989,-0.161768843890141,-0.228283465656595,0.601127761125692
0.745,0,-0,-0.0227147859310491,-0.106677671886014,-0.162901884909052,-0.225764866745228,0.601249373605881
0.75,0,-0,-0.02296502004972,-0.107011214502102,-0.164022240043892,-0.223218467163953,0.601368031878594
0.755,0,-0,-0.0232142340202075,-0.10733175495078,-0.165129773379469,-0.220645194531824,0.601483727402303
0.76,0,-0,-0.0234623775997159,-0.10763931021056,-0.166224353645358,-0.218045977911383,0.601596452906371
0.765,0,-0,-0.0237094010758772,-0.107933901939266,-0.167305854207783,-0.215421744223426,0.601706202316439
0.77,0,-0,-0.0239552552806565,-0.108215556459282,-0.168374153071119,-0.212773420967107,0.601812970772422
0.775,0,-0,-0.0241998916038835,-0.108484304711075,-0.169429132867453,-0.210101933091126,0.601916754561573
0.78,0,-0,-0.0244432620064674,-0.108740182229336,-0.170470680853995,-0.207408205239743,0.602017551129439
0.785,0,-0,-0.0246853190332251,-0.108983229088399,-0.171498688898271,-0.204693158525421,0.60211535900261
0.79,0,-0,-0.0249260158254103,-0.109213489870799,-0.172513053474312,-0.201957713956861,0.602210177813722
0.795,0,-0,-0.025165306132851,-0.109431013610138,-0.17351367564625,-0.199202788336629,0.60230200823957
0.8,0,-0,-0.02540314432576,-0.109635853749283,-0.174500461057431,-0.196429296725224,0.602390851996398
0.805,0,-0,-0.0256394854061707,-0.109828068077643,-0.175473319912389,-0.193638150156931,0.602476711788982
0.81,0,-0,-0.0258742850190375,-0.110007718681214,-0.176432166962963,-0.190830257055327,0.602559591306686
0.815,0,-0,-0.0261074994629472,-0.110174871871665,-0.177376921485464,-0.188006520733834,0.602639495157939
0.82,0,-0,-0.0263390857005161,-0.110329598129825,-0.17830750726606,-0.185167842253781,0.602716428883163
0.825,0,-0,-0.0265690013684002,-0.110471972033847,-0.179223852577321,-0.182315117132984,0.602790398911921
0.83,0,-0,-0.0267972047869558,-0.110602072193515,-0.180125890155823,-0.179449236656594,0.602861412540605
0.835,0,-0,-0.0270236549695309,-0.110719981171926,-0.181013557176374,-0.176571086731576,0.602929477892618
0.84,0,-0,-0.0272483116314179,-0.110825785415594,-0.181886795229572,-0.1736815489919,0.602994603919214
0.845,0,-0,-0.0274711351983932,-0.110919575165699,-0.182745550287975,-0.170781497323203,0.603056800318167
0.85,0,-0,-0.0276920868149639,-0.11100144438242,-0.183589772684404,-0.167871802687491,0.603116077558751
